source,target,edge_type
102800000,102801000,ownership
102800000,102802000,ownership
102800000,102803000,ownership
102800000,102804000,ownership
102800000,102805000,ownership
102800000,102806000,ownership
102800000,102807000,ownership
102800000,102808000,ownership
102800000,102809000,ownership
102800000,102810000,ownership
102800000,102811000,ownership
102800000,102812000,ownership
102800000,102813000,ownership
102800000,102814000,ownership
102800000,102815000,ownership
102800000,102816000,ownership
102800000,102817000,ownership
102800000,102818000,ownership
102800000,102819000,ownership
102800000,102820000,ownership
102800000,102821000,ownership
102800000,102822000,ownership
102800000,102823000,ownership
102900000,102901000,ownership
102900000,102902000,ownership
102900000,102903000,ownership
102900000,102904000,ownership
102900000,102905000,ownership
102900000,102906000,ownership
102900000,102907000,ownership
102900000,102908000,ownership
102900000,102909000,ownership
102900000,102910000,ownership
102900000,102911000,ownership
102900000,102912000,ownership
102900000,102913000,ownership
102900000,102914000,ownership
102900000,102915000,ownership
102900000,102916000,ownership
102900000,102917000,ownership
102900000,102918000,ownership
102900000,102919000,ownership
102900000,102920000,ownership
102900000,102921000,ownership
102900000,102922000,ownership
102900000,102923000,ownership
102900000,102924000,ownership
102900000,102925000,ownership
102900000,102926000,ownership
102900000,102927000,ownership
102900000,102928000,ownership
102900000,102929000,ownership
102900000,102930000,ownership
102900000,102931000,ownership
102900000,102932000,ownership
102900000,102933000,ownership
102900000,102934000,ownership
103300000,103301000,ownership
103300000,103302000,ownership
103300000,103303000,ownership
103300000,103304000,ownership
103300000,103305000,ownership
103300000,103306000,ownership
103300000,103307000,ownership
103300000,103308000,ownership
103300000,103309000,ownership
103300000,103310000,ownership
103300000,103311000,ownership
103300000,103312000,ownership
103300000,103313000,ownership
103300000,103314000,ownership
103300000,103315000,ownership
103300000,103316000,ownership
103300000,103317000,ownership
103300000,103318000,ownership
103300000,103319000,ownership
103300000,103320000,ownership
105500000,105501000,ownership
105500000,105502000,ownership
105500000,105503000,ownership
105500000,105504000,ownership
105500000,105505000,ownership
105500000,105506000,ownership
105500000,105507000,ownership
105500000,105508000,ownership
105500000,105509000,ownership
105500000,105510000,ownership
105500000,105511000,ownership
105500000,105512000,ownership
105500000,105513000,ownership
105500000,105514000,ownership
105500000,105515000,ownership
105500000,105516000,ownership
105500000,105517000,ownership
105500000,105518000,ownership
105500000,105519000,ownership
105500000,105520000,ownership
105500000,105521000,ownership
105500000,105522000,ownership
105500000,105523000,ownership
105500000,105524000,ownership
105500000,105525000,ownership
105500000,105526000,ownership
105500000,105527000,ownership
105500000,105528000,ownership
105500000,105529000,ownership
105500000,105530000,ownership
105500000,105531000,ownership
105500000,105532000,ownership
105500000,105533000,ownership
105500000,105534000,ownership
105500000,105535000,ownership
105500000,105536000,ownership
105500000,105537000,ownership
105500000,105538000,ownership
105500000,105539000,ownership
105500000,105540000,ownership
105500000,105541000,ownership
105500000,105542000,ownership
105500000,105543000,ownership
105500000,105544000,ownership
105500000,105545000,ownership
105500000,105546000,ownership
105500000,105547000,ownership
105500000,105548000,ownership
200900000,200901000,ownership
200900000,200902000,ownership
200900000,200903000,ownership
200900000,200904000,ownership
200900000,200905000,ownership
200900000,200906000,ownership
201500000,201501000,ownership
201500000,201502000,ownership
201500000,201503000,ownership
201500000,201504000,ownership
201500000,201505000,ownership
201500000,201506000,ownership
201500000,201507000,ownership
201500000,201508000,ownership
201500000,201509000,ownership
201500000,201510000,ownership
201500000,201511000,ownership
201500000,201512000,ownership
201500000,201513000,ownership
201500000,201514000,ownership
201500000,201515000,ownership
201500000,201516000,ownership
201500000,201517000,ownership
201500000,201518000,ownership
201500000,201519000,ownership
201500000,201520000,ownership
201500000,201521000,ownership
201500000,201522000,ownership
201500000,201523000,ownership
201500000,201524000,ownership
201500000,201525000,ownership
201500000,201526000,ownership
201500000,201527000,ownership
201500000,201528000,ownership
201500000,201529000,ownership
203100000,203101000,ownership
203100000,203102000,ownership
203100000,203103000,ownership
203100000,203104000,ownership
203100000,203105000,ownership
203100000,203106000,ownership
203100000,203107000,ownership
203100000,203108000,ownership
203100000,203109000,ownership
203100000,203110000,ownership
203100000,203111000,ownership
203100000,203112000,ownership
203100000,203113000,ownership
203100000,203114000,ownership
203100000,203115000,ownership
203100000,203116000,ownership
203100000,203117000,ownership
203100000,203118000,ownership
203100000,203119000,ownership
203100000,203120000,ownership
203100000,203121000,ownership
203100000,203122000,ownership
203100000,203123000,ownership
203100000,203124000,ownership
203100000,203125000,ownership
203100000,203126000,ownership
203100000,203127000,ownership
203100000,203128000,ownership
203100000,203129000,ownership
203100000,203130000,ownership
203100000,203131000,ownership
203100000,203132000,ownership
203100000,203133000,ownership
203100000,203134000,ownership
203100000,203135000,ownership
203100000,203136000,ownership
203100000,203137000,ownership
205000000,205001000,ownership
205000000,205002000,ownership
205000000,205003000,ownership
205000000,205004000,ownership
205000000,205005000,ownership
205000000,205006000,ownership
205000000,205007000,ownership
205000000,205008000,ownership
205000000,205009000,ownership
205000000,205010000,ownership
205000000,205011000,ownership
205000000,205012000,ownership
205000000,205013000,ownership
205000000,205014000,ownership
205000000,205015000,ownership
